French,English
histoire,history
chercher,search
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
laisse,leash
eux,them
ville,city
chaque,each
arrivé,come
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
aucune,any
place,square
compris,understood
étaient,were
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
endroit,place
yeux,eyes
dont,whose
premier,first
première,first
côté,side
vieux,old
sois,be
tiens,here
matin,morning
enfant,child
point,point
venu,came
suite,after
pardon,sorry
devant,in front of
demandé,request
mis,placed
belle,beautiful
aujourd'hui,today
cause,cause
enfin,finally
espère,hope
parti,left
nouvelle,new
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
gros,large
plutôt,rather
filles,girls
jouer,to play
bureau,office
